Complete Payment,Pembayaran Selesai
optional,opsional
Payment Method,Metode Pembayaran
Refund Amount,Jumlah Pengembalian Dana
Enter amount...,Masukkan jumlah...
Total Amount,Jumlah Total
Remaining,Tersisa
Change,Mengubah
Paid in Full,Dibayar Penuh
Paid Amount,Jumlah yang Dibayarkan
Paid: {0},Dibayar: {0}
Customer Credit Available,Kredit Pelanggan Tersedia
Customer Outstanding Balance,Saldo Terutang Pelanggan
Credit can be applied to invoice,Kredit dapat diterapkan pada faktur.
Amount owed by customer,Jumlah yang harus dibayar oleh pelanggan
No outstanding balance,Tidak ada saldo terutang
Save,Menyimpan
Cancel,Membatalkan
Submit,Kirim
Delete,Menghapus
Edit,Edit
Search,Mencari
Close,Menutup
Confirm,Mengonfirmasi
Yes,Ya
No,TIDAK
Loading...,Memuat...
Error,Kesalahan
Success,Kesuksesan
Warning,Peringatan
Information,Informasi
Add Item,Tambahkan Item
Select Customer,Pilih Pelanggan
Create Customer,Buat Pelanggan
Discount,Diskon
Tax,Pajak
Total,Total
Checkout,Check-out
Clear Cart,Kosongkan Keranjang
Hold Invoice,Tahan Faktur
Print Receipt,Cetak Struk
No stock available,Stok habis
Item added to cart,Barang ditambahkan ke keranjang
Item removed from cart,Barang dihapus dari keranjang
Open Shift,Shift Terbuka
Close Shift,Tutup Shift
Shift Opening,Pembukaan Shift
Shift Closing,Penutupan Shift
Opening Amount,Jumlah Pembukaan
Closing Amount,Jumlah Penutupan
Cash in Hand,Uang tunai
Expected Amount,Jumlah yang Diharapkan
Difference,Perbedaan
Draft Invoices,Draf Faktur
Invoice History,Riwayat Faktur
Offline Invoices,Faktur Offline
Return Invoice,Faktur Pengembalian
Invoice Number,Nomor Faktur
Date,Tanggal
Customer,Pelanggan
Amount,Jumlah
Status,Status
Paid,Dibayar
Unpaid,Tidak dibayar
Partially Paid,Dibayar Sebagian
Credit Note Issued,Nota Kredit Diterbitkan
Cancelled,Dibatalkan
Draft,Draf
Settings,Pengaturan
General,Umum
Appearance,Penampilan
Language,Bahasa
Select Language,Pilih Bahasa
Theme,Tema
Notifications,Pemberitahuan
Receipt Settings,Pengaturan Tanda Terima
Hardware,Perangkat keras
POS Profile,Profil POS
Network connection error,Kesalahan koneksi jaringan
"Session expired, please login again","Sesi telah berakhir, silakan masuk kembali."
Insufficient stock for {0},Stok tidak mencukupi untuk {0}
Invalid quantity,Jumlah tidak valid
Please select a customer,Silakan pilih pelanggan
Payment processing failed,Proses pembayaran gagal.
An unexpected error occurred,Terjadi kesalahan yang tidak terduga.
This field is required,Kolom ini wajib diisi.
Minimum length is {0} characters,Panjang minimum adalah {0} karakter
Maximum length is {0} characters,Panjang maksimum adalah {0} karakter
Please enter a valid email address,Silakan masukkan alamat email yang valid.
Please enter a valid phone number,Silakan masukkan nomor telepon yang valid.
Please enter a valid number,Silakan masukkan nomor yang valid.
Value must be positive,Nilainya harus positif
Customer Credit,Kredit Pelanggan
Available Credit,Kredit Tersedia
Payment Methods,Metode Pembayaran
Cash,Uang tunai
Card,Kartu
Wallet,Dompet
Bank Transfer,Transfer Bank
Item,Barang
Items,Barang-barang
Quantity,Kuantitas
Price,Harga
Subtotal,Subtotal
Grand Total,Jumlah Total
Apply,Menerapkan
Apply Coupon,Gunakan Kupon
Coupon Code,Kode Kupon
Remove,Menghapus
Add,Menambahkan
Update,Memperbarui
Refresh,Menyegarkan
Reload,Muat ulang
Print,Mencetak
Download,Unduh
Upload,Mengunggah
Import,Impor
Export,Ekspor
Filter,Menyaring
Sort,Menyortir
Ascending,Naik
Descending,Menurun
All,Semua
None,Tidak ada
Select All,Pilih Semua
Deselect All,Batalkan Pilihan Semua
Name,Nama
Email,E-mail
Phone,Telepon
Address,Alamat
City,Kota
State,Negara
Country,Negara
Postal Code,Kode Pos
Notes,Catatan
Description,Keterangan
Category,Kategori
Type,Jenis
Unit,Satuan
Stock,Saham
Available,Tersedia
Out of Stock,Stok Habis
Low Stock,Stok Menipis
In Stock,Tersedia
Barcode,Kode batang
SKU,SKU
Image,Gambar
Gallery,Galeri
Product,Produk
Products,Produk
Service,Melayani
Services,Layanan
Order,Memesan
Orders,Pesanan
Invoice,Faktur
Invoices,Faktur
Payment,Pembayaran
Payments,Pembayaran
Receipt,Kuitansi
Receipts,Tanda Terima
Refund,Pengembalian dana
Refunds,Pengembalian dana
Return,Kembali
Returns,Pengembalian
Exchange,Menukarkan
Exchanges,Pertukaran
Sale,Penjualan
Sales,Penjualan
Purchase,Pembelian
Purchases,Pembelian
Report,Laporan
Reports,Laporan
Dashboard,Dasbor
Home,Rumah
Profile,Profil
Account,Akun
Logout,Keluar
Login,Login
Sign In,Masuk
Sign Up,Mendaftar
Register,Daftar
Password,Kata sandi
Username,Nama belakang
Remember Me,Ingatlah Aku
Forgot Password?,Lupa kata sandi?
Reset Password,Atur Ulang Kata Sandi
Change Password,Ubah Kata Sandi
Old Password,Kata Sandi Lama
New Password,Kata Sandi Baru
Confirm Password,Konfirmasi Kata Sandi
Today,Hari ini
Yesterday,Kemarin
This Week,Minggu Ini
Last Week,Minggu lalu
This Month,Bulan Ini
Last Month,Bulan lalu
This Year,Tahun ini
Last Year,Tahun Lalu
Custom Range,Rentang Kustom
From,Dari
To,Ke
Start Date,Tanggal Mulai
End Date,Tanggal Akhir
Time,Waktu
Hour,Jam
Hours,Jam
Minute,Menit
Minutes,Menit
Second,Kedua
Seconds,Detik
Day,Hari
Days,Hari-hari
Week,Pekan
Weeks,Minggu
Month,Bulan
Months,Bulan
Year,Tahun
Years,Bertahun-tahun
Are you sure?,Apa kamu yakin?
This action cannot be undone,Tindakan ini tidak dapat dibatalkan.
Confirm Delete,Konfirmasi Penghapusan
Confirm Action,Konfirmasi Tindakan
Processing...,Pengolahan...
Please wait...,Harap tunggu...
Saving...,Penghematan...
Loading data...,Memuat data...
No data available,Tidak ada data yang tersedia
No results found,Tidak ada hasil yang ditemukan
Search results,Hasil pencarian
Showing {0} to {1} of {2} entries,Menampilkan {0} hingga {1} dari {2} entri
Page,Halaman
Previous,Sebelumnya
Next,Berikutnya
First,Pertama
Last,Terakhir
per page,per halaman
View,Melihat
View Shift,Pergeseran Pandangan
View Details,Lihat Detail
Edit Details,Edit Detail
Copy,Menyalin
Duplicate,Duplikat
Archive,Arsip
Restore,Memulihkan
Move,Bergerak
Rename,Ganti nama
Share,Membagikan
Download PDF,Unduh PDF
Send Email,Kirim Email
Print Invoice,Cetak Faktur
Email Invoice,Faktur Email
Mark as Paid,Tandai sebagai Terbayar
Mark as Unpaid,Tandai sebagai Belum Dibayar
Payment Received,Pembayaran Diterima
Payment Pending,Pembayaran Tertunda
Payment Failed,Pembayaran Gagal
Completed,Selesai
Pending,Tertunda
Processing,Pengolahan
Cancelled,Dibatalkan
Refunded,Dikembalikan
Draft,Draf
Submitted,Dikirimkan
Approved,Disetujui
Rejected,Ditolak
Active,Aktif
Inactive,Tidak aktif
Enabled,Diaktifkan
Disabled,Dengan disabilitas
Online,On line
Offline,Offline
Connected,Terhubung
Disconnected,Terputus
Synced,Tersinkronisasi
Not Synced,Tidak Tersinkronisasi
Syncing...,Sinkronisasi...
Last Sync,Sinkronisasi Terakhir
Sync Now,Sinkronkan Sekarang
Auto Sync,Sinkronisasi Otomatis
Manual Sync,Sinkronisasi Manual
Clear Cache,Hapus Cache
Reset Settings,Atur Ulang Pengaturan
Restore Defaults,Pulihkan Pengaturan Default
About,Tentang
Help,Membantu
Support,Mendukung
Documentation,Dokumentasi
Version,Versi
License,Lisensi
Privacy Policy,Kebijakan Privasi
Terms of Service,Ketentuan Layanan
Contact Us,Hubungi kami
Feedback,Masukan
Rate Us,Beri Kami Nilai
More,Lagi
Less,Lebih sedikit
Show More,Tampilkan Lebih Banyak
Show Less,Tampilkan Lebih Sedikit
Expand,Memperluas
Collapse,Runtuh
Full Screen,Layar Penuh
Exit Full Screen,Keluar dari Layar Penuh
Shift Open:,Shift Terbuka:
Offline ({0} pending),Offline ({0} tertunda)
Online - Click to sync,Online - Klik untuk sinkronisasi
Offline mode active,Mode offline aktif
Online mode active,Mode daring aktif
Cache,Cache
Items:,Barang-barang:
Last Sync:,Sinkronisasi Terakhir:
Status:,Status:
Auto-Sync:,Sinkronisasi Otomatis:
Refreshing...,Menyegarkan...
Refresh Items,Segarkan Item
Refreshing items...,Menu yang menyegarkan...
Refresh items list,Perbarui daftar item
Empty,Kosong
Syncing,Sinkronisasi
Ready,Siap
Never,Tidak pernah
Cache empty,Cache kosong
Cache syncing,Sinkronisasi cache
Cache ready,Cache siap
Access your point of sale system,Akses sistem penjualan Anda
Your cart is empty,Keranjang belanja Anda kosong
Cart Items,Barang Keranjang
Clear,Jernih
Last 7 Days,7 Hari Terakhir
Last 30 Days,30 Hari Terakhir
All Status,Semua Status
Partly Paid,Sebagian Dibayar
Overdue,Terlambat
Negative Stock,Saham Negatif
Cart,Keranjang
Welcome to POS Next,Selamat datang di POS Next
Please open a shift to start making sales,Silakan buka shift untuk mulai melakukan penjualan.
Clear Cart?,Kosongkan Keranjang?
Remove all {0} items from cart?,Hapus semua {0} item dari keranjang?
Clear All,Hapus Semua
Sign Out Confirmation,Konfirmasi Keluar
Your Shift is Still Open!,Shift Anda Masih Tersedia!
Close your shift first to save all transactions properly,Tutup shift Anda terlebih dahulu untuk menyimpan semua transaksi dengan benar.
Close Shift & Sign Out,Mengakhiri Shift & Melakukan Pengeluaran
Skip & Sign Out,Lewati & Keluar
Sign Out?,Keluar?
You will be logged out of POS Next,Anda akan keluar dari POS Next.
Sign Out,Keluar
Signing Out...,Mengakhiri sesi...
Invoice Created Successfully,Faktur Berhasil Dibuat
Invoice {0} created successfully!,Faktur {0} berhasil dibuat!
Total: {0},Total: {0}
An unexpected error occurred.,Terjadi kesalahan yang tidak terduga.
Delete Invoice,Hapus Faktur
Try Again,Coba Lagi
Tax mode updated. Cart recalculated with new tax settings.,Mode pajak diperbarui. Keranjang belanja dihitung ulang dengan pengaturan pajak baru.
Discount settings changed. Cart recalculated.,Pengaturan diskon telah diubah. Keranjang belanja telah dihitung ulang.
Prices are now tax-inclusive. This will apply to new items added to cart.,Harga sekarang sudah termasuk pajak. Ini berlaku untuk barang baru yang ditambahkan ke keranjang belanja.
Prices are now tax-exclusive. This will apply to new items added to cart.,Harga yang tertera belum termasuk pajak. Ketentuan ini berlaku untuk barang baru yang ditambahkan ke keranjang belanja.
Negative stock sales are now allowed,Penjualan saham negatif kini diperbolehkan.
Negative stock sales are now restricted,Penjualan saham negatif kini dibatasi.
Credit Sale,Penjualan Kredit
Write Off Change,Perubahan Penghapusan
Partial Payment,Pembayaran Sebagian
Silent Print,Cetakan Senyap
{0} settings applied immediately,{0} pengaturan diterapkan segera
You can now start making sales,Anda sekarang dapat mulai melakukan penjualan.
Shift closed successfully,Shift berhasil ditutup
Insufficient Stock,Stok Tidak Mencukupi
Item: {0},Item: {0}
"""{0}"" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","""{0}"" tidak dapat ditambahkan ke keranjang. Paket habis stok. Izinkan Stok Negatif dinonaktifkan."
"""{0}"" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","""{0}"" tidak dapat ditambahkan ke keranjang. Barang habis stok. Izinkan Stok Negatif dinonaktifkan."
